,dialogue_with_speaker
1944,Barristan Selmy: You're too modest. I've seen you cut down a dozen great knights.
1945,Eddard Stark: My father once told me you were the best he'd ever seen. I never knew the man to be wrong about matters of combat.
1946,"Barristan Selmy: He was a fine man, your father. What the Mad King did to him was a terrible crime."
1947,Eddard Stark: And that lad... He was a squire until a few months ago. How could he afford a new suit of armor?
1948,Barristan Selmy: Perhaps Lord Arryn left him some money? I hear the King wants to joust today.
1949,Eddard Stark: Yes. That will never happen.
1950,Barristan Selmy: Robert tends to do what he wants.
1951,"Eddard Stark: If the King got what he wanted all the time, we'd still be fighting a damned rebellion."
1952,"NARRATOR:Ned separates from Barristan and enters King Robert’s tent. Lancel, Robert’s squire, is attempting to dress him in his armor."
1953,"Lancel Lannister: It's made too small, Your Grace. It won't go."
1954,Robert Baratheon: Your mother was a dumb whore with a fat arse. Did you know that? Look at this idiot! One ball and no brains. He can't even put a man's armor on him properly.
1955,Eddard Stark: You're too fat for your armor.
1956,"Robert Baratheon: Fat? Fat, is it? Is that how you speak to your King? That was funny, is it?"
1957,NARRATOR:Both Robert and Ned begin laughing. Lancel also starts to laugh.
1958,"Robert Baratheon: Oh, it’s funny, is it?"
1959,"Lancel Lannister: No, Your Grace."
1960,Robert Baratheon: No? You don't like the Hand's joke?
1961,Eddard Stark: You're torturing the poor boy.
1962,"Robert Baratheon: You heard the Hand. The King's too fat for his armor! Go find the breastplate stretcher, now!"
1963,NARRATOR:Lancel runs out of the tent.
1964,Eddard Stark: The breastplate stretcher?
1965,Robert Baratheon: How long before he figures it out?
1966,Eddard Stark: Maybe you should have one invented.
1967,"Robert Baratheon: All right, all right. But you watch me out there. I still know how to point a lance."
1968,Eddard Stark: You have no business jousting. Leave that for the young men.
1969,Robert Baratheon: Why? Because I'm king? Piss on that. I want to hit somebody!
1970,Eddard Stark: And who's going to hit you back?
1971,Robert Baratheon: Anybody who can. And the last man in his saddle... will be you!
1972,Eddard Stark:There's not a man in the Seven Kingdoms would risk hurting you.
1973,Robert Baratheon: Are you telling me those cowards would let me win?
1974,Eddard Stark: Aye.
1975,Robert Baratheon: … Drink.
1976,Eddard Stark: I'm not thirsty.
1977,Robert Baratheon: Drink. Your King commands it. Gods! Too fat for my armor.
1978,Eddard Stark: Your squire... A Lannister boy?
1979,"Robert Baratheon: Hmm... A bloody idiot... But Cersei insisted. I have Jon Arryn to thank for her. ""Cersei Lannister will make a good match"", he told me. ""You'll need her father on your side."" I thought being King meant I could do whatever I wanted. Enough of this! Let's go watch 'em ride. At least I can smell someone else's blood."
1980,Eddard Stark: Robert?
1981,"Robert Baratheon: What? Oh! An inspiring sight for the people, eh? Come! Bow before your King! Bow, you shits!"
1982,"NARRATOR:Now at the jousting track where there are lots of onlookers, cheering. Ser Gregor bows before the King before he and his horse take off down one lane of the track."
1983,Eddard Stark: Where's Arya
1984,Sansa Stark: At her dancing lessons. The Knight of the Flowers.
1985,"Sansa Stark: Thank you, Ser Loras."
1986,"NARRATOR:After bowing to Sansa, Loras exchanges looks with Renly Baratheon. Loras then rides and bows before the King, also taking off down the opposite track."
1987,Sansa Stark: Don't let Ser Gregor hurt him.
1988,Eddard Stark: Hey.
1989,Sansa Stark: I can't watch.
1990,NARRATOR:Behind Ned and Sansa.
1991,Petyr Baelish: 100 gold dragons on the Mountain.
1992,Renly Baratheon: I'll take that bet.
1993,Petyr Baelish: Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?
1994,Renly Baratheon: Or you could even buy a friend.
1995,Sansa Stark: He's going to die.
1996,Eddard Stark: Ser Loras rides well.
1997,NARRATOR:A trumpet is heard and both competitors race down their lanes. Loras knocks Ser Gregor off of his mount.
1998,"Renly Baratheon: Such a shame, Littlefinger. It would have been so nice for you to have a friend."
1999,"Petyr Baelish: And tell me, Lord Renly, when will you be having your friend?"
2000,"Petyr Baelish: Loras knew his mare was in heat. Quite crafty, really."
2001,Sansa Stark: Ser Loras would never do that! There's no honor in tricks.
2002,Petyr Baelish: No honor but quite a bit of gold.
2003,"NARRATOR:Gregor gets up off of the ground, shouts for his sword. His squire brings it to him and then Gregor severs his horse’s head completely off. The crowd is stunned, Gregor then attacks Loras. Knocking him off of his horse and striking him with his sword. Sandor, the Hound, runs down from the stands and fends off his brother."
2004,Robert Baratheon: Stop this madness in the name of your King!
2005,"NARRATOR:Sandor takes a bow and Gregor storms off. Loras walks up to Sandor, raising his hand in victory."
2006,"Loras Tyrell: I owe you my life, Ser."
2007,Sandor Clegane: I'm no Ser.
2008,"NARRATOR:Stopping for rest, presumed on the Kingsroad on their way to Winterfell."
2009,Catelyn Stark: Remove his hood.
2010,"Marillion: On that eve, the captive Imp down-wards from his horse did limp, no more would he preen and primp, in garb of red and gold. (singing)"
2011,Tyrion Lannister: This isn't the Kingsroad. You said we were riding for Winterfell.
2012,Catelyn Stark: I did... often and loudly.
2013,"Tyrion Lannister: Very wise. They'll be out in droves, looking for me in the wrong place. Word's probably gotten to my father by now. He'll be offering a handsome reward. Everyone knows a Lannister always pays his debts. Would you be so good as to untie me?"
2014,Catelyn Stark: And why would I do that?
2015,Tyrion Lannister: Why not? Am I going to run? The hill tribes would kill me for my boots. Unless a Shadowcat ate me first.
2016,Catelyn Stark: Shadowcats and hill tribes are the least of your concerns.
2017,"Tyrion Lannister: Ah... the Eastern Road. We're going to The Vale. You're taking me to your sister's to answer for my imagined crimes. Tell me, Lady Stark. When was the last time you saw your sister?"
2018,Catelyn Stark: Five years ago.
2019,"Tyrion Lannister: She's changed. She was always a bit touched, but now... you might as well kill me here."
2020,"Catelyn Stark: I am not a murderer, Lannister."
2021,Tyrion Lannister: Neither am I! I had nothing to do with the attempt on your son's life!
2022,Catelyn Stark: The dagger found
2023,Tyrion Lannister: What sort of imbecile arms an assassin with his own blade?
2024,Rodrik Cassel: Should I gag him?
2025,Tyrion Lannister: Why? Am I starting to make sense?
2026,"Rodrik Cassel: My Lady, this way."
2027,"NARRATOR:A rock slams into one of Catelyn’s men, a hill tribe begins to attack. Rodrik moves Catelyn behind a rock, out of harms way. The men, mainly Bronn begin successfully defending against the tribe. Tyrion sees Catelyn pull out a small dagger, he runs over to her and convinces her to cut him loose."
2028,"Tyrion Lannister: Untie me. If I die, what's the point?"
2029,"NARRATOR:Tyrion, now loose, runs over and picks up a shield. He fends off an attack as another of Lady Stark’s men kills him. Another tribesman is nearing Catelyn, Tyrion rushes over with his shield, knocks him to the ground and begins slamming it into his throat, directly in front of, and in defense of Catelyn. The battle comes to an end with many of their men defeated."
2030,Catelyn Stark: Rodrik?
2031,"Rodrik Cassel: I'll be fine, my Lady. There's no need to bloody yourself."
2032,Bronn:  Your first? You need a woman. Nothing like a woman after a fight.
2033,"Tyrion Lannister: Well, I'm willing if she is."
2034,"NARRATOR:Back at Winterfell, Maester Luwin and Bran are at a small table, Luwin trying to teach Bran. Bran is fixed on watching Theon as he is practicing his archery."
2035,Maester Luwin: Bran...
2036,Maester Luwin: Lords?
2037,Bran Stark: The Greyjoys.
2038,"Theon Greyjoy: Famed for their skills at archery, navigation and lovemaking."
2039,Maester Luwin: And failed rebellions.
2040,Maester Luwin: Good.
2041,Maester Luwin:: Mhmm.
2042,Maester Luwin: Hmm...
2043,"Maester Luwin: No. A common saying, but not their official motto."
2044,Maester Luwin: We're still on their words.
2045,Bran Stark: I don't know them.
2046,Maester Luwin: You do know them. Think.
2047,"Bran Stark: ""Unbowed, unbent, unbroken""."
2048,Maester Luwin:That's House Martell.
2049,"Bran Stark: ""Righteous in wrath""."
2050,Maester Luwin: House Hornwood.
2051,"Bran Stark: ""Family, duty, honor""."
2052,Maester Luwin:Those are Tully words... Your mother's. Are we playing a game?
2053,"Bran Stark: ""Family, duty, honor""... Is that the right order?"
2054,Maester Luwin:You know it is.
2055,Bran Stark: Family comes first?
2056,Maester Luwin: Your mother had to leave Winterfell to protect the family.
2057,"Bran Stark: How can she protect the family, if she's not with her family?"
2058,Maester Luwin: Your mother sat by your bed for three weeks while you slept.
2059,Bran Stark: And then she left!
2060,"Maester Luwin: When you were born, I was the one who pulled you from your mother. I placed you in her arms. From that moment until the moment she dies, she will love you. Absolutely. Fiercely."
2061,Bran Stark: Why did she leave?
2062,"Maester Luwin: I still can't tell you, but she will be home soon."
2063,Bran Stark: Do you know where she is now? Today?
2064,"Maester Luwin:No, I don't."
2065,Bran Stark: Then how can you promise me she'll be home soon?
2066,Maester Luwin: Sometimes I worry you're too smart for your own good.
2067,Bran Stark: I'll never shoot another arrow.
2068,Maester Luwin: And where is that written?
2069,Bran Stark: You need legs to work a bow.
2070,"Maester Luwin: Hmm... If the saddle Lord Tyrion designed actually works, you could learn to shoot a bow from horseback."
2071,Bran Stark: Really?
2072,Maester Luwin: Dothraki boys learn when they're four years old. Why shouldn't you?
2073,"NARRATOR:Now in Theon’s quarters inside Winterfell, he’s making love to Ros."
2074,Theon Greyjoy: Shh... Keep it down. You're not supposed to be inside the castle walls.
2075,NARRATOR:They break.
2076,Ros: I thought you were supposed to be an important person around here.
2077,Theon Greyjoy: Important enough for the likes of you.
2078,"Ros: You're not the only nobleman in my life, you know."
2079,Theon Greyjoy: Who? the Imp? I'd call him half a nobleman.
2080,Ros: Jealous?
2081,Theon Greyjoy: Why should I be jealous?
2082,Theon Greyjoy: Anyone with a few coppers in his pocket can own you for the night. What's a dwarf like down below? I've always wondered.
2083,Ros: Might surprise you.
2084,Theon Greyjoy: Hmm?
2085,Ros: He's good with his fingers too. And his tongue.
2086,Theon Greyjoy: Generous tipper. I guess gold is cheap for a Lannister.
2087,Ros: You are jealous.
2088,"Theon Greyjoy: I'm a Greyjoy. We've been Lords of the Iron Islands for 300 years. There's not a family in Westeros that can look down on us, not even the Lannisters."
2089,Ros: And what about the Starks?
2090,Theon Greyjoy: I’ve been Lord Stark’s ward since I was eight years old.
2091,"Ros: A “ward”, that’s a nice word for it. Your father rebelled against King Robert and if he does it again…"
2092,NARRATOR:Theon grabs Ros’ neck from behind.
2093,Theon Greyjoy: My father fought for the freedom of his people! What did your father do? Fucked a cook and whelped a whore.
2094,Ros: You’re a very serious boy.
2095,Theon Greyjoy: I’m not a boy.
2096,"Ros: Oh, yes you are. A serious boy, with a serious cock."
2097,Theon Greyjoy: I don’t want to pay for it.
2098,Ros: Then get yourself a wife.
2099,"NARRATOR:Arya, at King’s Landing is running through the halls chasing a cat. She’s seen running down a hallway."
2100,Arya Stark: Come on. I'm not gonna hurt you.
2101,"NARRATOR:Ned is in his chambers at his desk, Varys is speaking to him, walking around securing all of the windows before sitting down to talk more seriously."
2102,"Varys: How is your son, my Lord?"
2103,Eddard Stark: He'll never walk again.
2104,Varys: But his mind is sound?
2105,Eddard Stark: So they say.
2106,Varys:A blessing then. I suffered an early mutilation myself. Some doors close forever... others open in the most unexpected places. May I?
2107,"Varys: If the wrong ears heard what I'm about to tell you, off comes my head. And who would mourn poor Varys then? North or South, they sing no songs for spiders. But there are things you must know. You are the King's Hand and the King is a fool... your friend, I know, but a fool... and doomed unless you save him."
2108,Eddard Stark: I've been in the capital a month. Why have you waited so long to tell me this?
2109,Varys: I didn't trust you.
2110,Eddard Stark: So why do you trust me now?
2111,"Varys: The Queen is not the only one who has been watching you closely. There are few men of honor in the capital. You are one of them. I would like to believe I am another, strange as that may seem."
2112,Eddard Stark: What sort of doom does the King face?
2113,"Varys: The same sort as Jon Arryn. The tears of Lys, they call it. A rare and costly thing, as clear and tasteless as water. It leaves no trace."
2114,Eddard Stark: Who gave it to him?
2115,"Varys: Some dear friend, no doubt. But which one? There were many. Lord Arryn was a kind and trusting man. There was one boy... all he was he owed to Jon Arryn."
2116,"Eddard Stark: The squire, Ser Hugh?"
2117,"Varys: Pity what happened to him, just when his life seemed to be going so nicely."
2118,"Eddard Stark: If Ser Hugh poisoned him, who paid Ser Hugh?"
2119,Varys: Someone who could afford it.
2120,Varys: He started asking questions.
2121,"NARRATOR:We shift to a dark dungeon of King’s Landing. Arya is still chasing the cat. She stops to admire a large dragon’s skull. She hears two men talking, and hides from them, just in earshot. The two men are Lord Varys and Magister Illyrio Mopatis."
2122,Varys: He's found one bastard already. He has the book. The rest will come.
2123,"Illyrio Mopatis: And when he knows the truth, what will he do?"
2124,"Varys: The gods alone know. The fools tried to kill his son. What's worse, they botched it. The wolf and the lion will be at each other's throats. We will be at war soon, my friend."
2125,"Illyrio Mopatis: What good is war now? We're not ready. If one Hand can die, why not a second?"
2126,Varys: This Hand is not the other.
2127,Illyrio Mopatis: We need time. Khal Drogo will not make his move until his son is born. You know how these savages are.
2128,"Varys: ""Delay,"" you say. ""Move fast, "" I reply. This is no longer a game for two players."
2129,Illyrio Mopatis: It never was.
2130,"NARRATOR:The two men leave, Varys locks a gate behind them. Arya runs to the gate and can’t get out. She takes off in the other direction, deeper into the dungeon, to find an exit."
2131,"NARRATOR:Varys enters the Throne Room, where Baelish is standing, looking at the throne."
2132,Varys: The first to arrive and the last to leave. I admire your industry.
2133,Petyr Baelish: You do move quietly.
2134,Varys: We all have our qualities.
2135,Petyr Baelish: You look a bit lonely today. You should pay a visit to my brothel this evening. First boy is on the house.
2136,Varys: I think you're mistaking business with pleasure.
2137,"Petyr Baelish: Am I? All those birds that whisper in your ear, such pretty little things. Trust me, we accommodate all inclinations."
2138,"Varys: Oh, I'm sure. Lord Redwyne likes his boys very young, I hear."
2139,"Petyr Baelish: I'm a purveyor of beauty and discretion, both equally important."
2140,"Varys: Though I suppose beauty is a subjective quality, no? Is it true that Ser Marlon of Tumblestone prefers amputees?"
2141,Petyr Baelish: All desires are valid to a man with a full purse.
2142,Varys: And I heard the most awful rumor about a certain lord with a taste for fresh cadavers. Must be enormously difficult to accommodate that inclination. The logistics alone... to find beautiful corpses before they rot.
2143,"Petyr Baelish: Strictly speaking, such a thing would not be in accordance with the King's laws."
2144,Varys: Strictly speaking.
2145,"Petyr Baelish: Tell me. Does someone, somewhere, keep your balls in a little box? I've often wondered."
2146,"Varys: Do you know, I have no idea where they are? And we had been so close. But enough about me. How have you been since we last saw each other?"
2147,Petyr Baelish: Since you last saw me or since I last saw you?
2148,"Varys: Now the last time I saw you, you were talking to the Hand of the King."
2149,Petyr Baelish: Saw me with your own eyes?
2150,Varys: Eyes I own.
2151,Petyr Baelish: Council business. We all have so much to discuss with Ned Stark.
2152,Varys: Everyone's well aware of your enduring fondness for Lord Stark's wife. If the Lannisters were behind the attempt on the Stark boy's life and it was discovered that you helped the Starks come to that conclusion... To think... A simple word to the Queen...
2153,Petyr Baelish: One shudders at the thought.
2154,Varys: Oh.
2155,Petyr Baelish: But you know something? I do believe that I have seen you even more recently than you have seen me.
2156,Varys: Have you?
2157,"Petyr Baelish: Yes. Earlier today, I distinctly recall seeing you talking to Lord Stark in his chambers."
2158,Varys: Was that you under the bed?
2159,"Petyr Baelish: And not long after that when I saw you escorting a certain foreign dignitary... Council business? Of course you would have friends from across The Narrow Sea. You're from there yourself, after all. We're friends, aren't we, Lord Varys? I'd like to think we are. So you can imagine my burden, wondering if the King might question my friend's sympathies… To stand at a crossroads where turning left means loyalty to a friend, turning right, loyalty to the realm."
2160,"Varys: Oh, please."
2161,Petyr Baelish: To find myself in a position where a simple word to the King --
2162,NARRATOR:Renly enters from a different doorway and cuts both men off.
2163,"Renly Baratheon: What are you two conspiring about? Well, whatever it is, you'd best hurry up. My brother is coming."
2164,Petyr Baelish: To a small council meeting?
2165,Varys: Disturbing news from far away. Haven't you heard?
2166,"NARRATOR:Arya exits a tunnel outside of King’s Landing, at the beach of Blackwater Bay. She heads to the city’s gate but is stopped by two guards."
2167,Guard 1: Off with you. No begging.
2168,Arya Stark: I'm not a beggar. I live here.
2169,Guard 1: D'you want a smack on your ear to help you with your hearing?
2170,Arya Stark: I want to see my father.
2171,"Guard 2: I want to fuck the Queen, for all the good it does me."
2172,"Guard 1: You want your father, boy? He's lying on the floor of some tavern, getting pissed on by his friends."
2173,"Arya Stark: My father is Hand of the King! I'm not a boy. I'm Arya Stark of Winterfell and if you lay a hand on me, my father will have both your heads on spikes! Now are you going to let me by or do I need to smack you on the ear to help with your hearing?"
2174,NARRATOR:Quick cut to Arya standing in front of Ned at his desk.
2175,Eddard Stark: You know I had half my guard out searching for you? You promised me this would stop.
2176,Arya Stark: They said they were going to kill you.
2177,Eddard Stark: Who did?
2178,"Arya Stark: I didn't see them, but I think one was fat."
2179,"Eddard Stark: Oh, Arya."
2180,Arya Stark: I'm not lying! They said you found the bastard and the wolves are fighting the lions and the savage... something about the savage.
2181,Eddard Stark: Where did you hear this?
2182,"Arya Stark: In the dungeons, near the dragon skulls."
2183,Eddard Stark: What were you doing in the dungeons?
2184,Arya Stark: Chasing a cat.
2185,"NARRATOR:A knock at the door, Jory pokes his head in."
2186,"Jory Cassel: Pardon, my Lord. There's a Night's Watchman here begging a word. He says it's urgent."
2187,"Eddard Stark: Your name, friend?"
2188,"Yoren: Yoren, if it please. This must be your son. He has the look."
2189,Arya Stark: I'm a girl!
2190,Eddard Stark: Did Benjen send you?
2191,"Yoren: No one sent me, my Lord. I'm here to find men for The Wall, see if there's any scum in the dungeons that might be fit for service."
2192,"Eddard Stark: Ah, we'll find recruits for you."
2193,"Yoren: Thank you, my Lord. But that's not why I disturb you now. Your brother, Benjen... his blood runs black, makes him as much my brother as yours. It's for his sake I rode here so hard I damn near killed my horse! There are others riding too. The whole city will know by tomorrow."
2194,Eddard Stark: Know what?
2195,"Yoren: Best said in private, my Lord."
2196,Eddard Stark: Go on. We'll talk more later.
2197,"Eddard Stark: Jory, take her safely to her room."
2198,"Jory Cassel: Come along, my Lady. You heard your father."
2199,NARRATOR:Jory escorts Arya to her room.
2200,Arya Stark: How many guards does my father have?
2201,Jory Cassel: Here in King's Landing? Fifty.
2202,"Arya Stark: You wouldn't let anyone kill him, would you?"
2203,"Jory Cassel: No fear on that count, little Lady."
2204,NARRATOR:Ned and Yoren are now alone in Ned’s chambers.
2205,Eddard Stark: Well?
2206,"Yoren: It's about your wife, my Lord. She's taken the Imp."
2207,"NARRATOR:As Catelyn, Tyrion and her men are arriving to the Vale, they’re met by a group of guards."
2208,"Vardis Egen: You're far from home, Lady Stark."
2209,Catelyn Stark: To whom do I speak?
2210,"Vardis Egen: Ser Vardis Egen, Knight of The Vale. Is Lady Arryn expecting your visit?"
2211,Catelyn Stark: There was no time to send word.
2212,"Vardis Egen: May I ask, my Lady, why he is with you?"
2213,Catelyn Stark: That's why there was no time. He is my prisoner.
2214,Vardis Egen: He doesn't look like a prisoner.
2215,Catelyn Stark: My sister will decide what he looks like.
2216,"Vardis Egen: Yes, my Lady. She will at that."
2217,NARRATOR:The guards all turn their horses and escort Catelyn and her men towards the Eyrie.
2218,Tyrion Lannister: The Eyrie. They say it's impregnable.
2219,Bronn: Give me 10 good men and some climbing spikes... I'll impregnate the bitch.
2220,Tyrion Lannister: I like you.
2221,"NARRATOR:Ned is walking through a courtyard at King’s Landing, heading for the King Robert’s chambers. He is stopped by a royal steward."
2222,"Steward: Lord Stark, your presence has been requested in the small council chamber. A meeting has been called."
2223,"Steward: The King is at the small council meeting, my Lord. He has summoned you."
2224,Eddard Stark: Is it about my wife?
2225,"Steward: No, my Lord. I believe it concerns Daenerys Targaryen."
2226,"NARRATOR:Now at the small council meeting with everyone on the council, as well as King Robert."
2227,Robert Baratheon: The whore is pregnant.
2228,Eddard Stark: You're speaking of murdering a child.
2229,"Robert Baratheon: I warned you this would happen. Back in the North, I warned you, but you didn't care to hear. Well, hear it now. I want 'em dead, mother and child both. And that fool, Viserys as well. Is that plain enough for you? I want them both dead."
2230,Eddard Stark: You will dishonor yourself forever if you do this.
2231,"Robert Baratheon: Honor?! I've got Seven Kingdoms to rule! One King, Seven Kingdoms. Do you think honor keeps them in line? Do you think it's honor that's keeping the peace? It's fear! Fear and blood!"
2232,Eddard Stark: Then we're no better than the Mad King.
2233,"Robert Baratheon: Careful, Ned. Careful now."
2234,Eddard Stark: You want to assassinate a girl... Because the Spider heard a rumor?
2235,"Varys: No rumor, my Lord. The princess is with child."
2236,Eddard Stark: Based on whose information?
2237,Varys: Ser Jorah Mormont. He is serving as adviser to the Targaryens.
2238,Eddard Stark: Mormont? You bring us the whispers of a traitor half a world away and call it fact?
2239,"Petyr Baelish: Jorah Mormont's a slaver, not a traitor. Small difference, I know, to an honorable man."
2240,"Eddard Stark: He broke the law, betrayed his family, fled our land. We commit murder on the word of this man?"
2241,Robert Baratheon: And if he's right? If she has a son? A Targaryen at the head of a Dothraki army… What then?
2242,Eddard Stark: The Narrow Sea still lies between us. I'll fear the Dothraki the day they teach their horses to run on water.
2243,Robert Baratheon: Do nothing? That's your wise advice? Do nothing til our enemies are on our shores? You're my council? Counsel! Speak sense to this honorable fool.
2244,"Varys: I understand your misgivings, my Lord. Truly, I do. It is a terrible thing we must consider, a vile thing. Yet, we who presume to rule must sometimes do vile things for the good of the realm. Should the gods grant Daenerys a son, the realm will bleed."
2245,"Grand Maester Pycelle: I bear this girl no ill will, but should the Dothraki invade, how many innocents will die? How many towns will burn? Is it not wiser, kinder even, that she should die now so that tens of thousands might live?"
2246,Renly Baratheon: We should have had them both killed years ago.
2247,"Petyr Baelish: When you find yourself in bed with an ugly woman, best close your eyes, get it over with. Cut her throat. Be done with it."
2248,Robert Baratheon: She dies.
2249,Eddard Stark: I will have no part in it.
2250,"Robert Baratheon: You're the King's Hand, Lord Stark. You'll do as I command or I'll find me a Hand who will."
2251,NARRATOR:Ned removes his badge and places it on the table in front of Robert.
2252,Eddard Stark: And good luck to him. I thought you were a better man.
2253,"Robert Baratheon: Out! Out, damn you! I'm done with you. Go! Run back to Winterfell! I'll have your head on a spike! I'll put it there myself, you fool! You think you're too good for this? Too proud and honorable? This is a war!"
2254,NARRATOR:Ned is in his chambers quickly packing his things.
2255,Eddard Stark: I'll go ahead with my daughters. Get them ready. Do it yourself. Don't ask anyone for help.
2256,"Jory Cassel: Right away, my Lord. Lord Baelish is here for you."
2257,"Petyr Baelish: His Grace went on about you at some length after you took your leave. The word ""treason"" was mentioned."
2258,Eddard Stark: What can I do for you?
2259,Petyr Baelish: When do you return to Winterfell?
2260,Eddard Stark: Why? What do you care?
2261,"Petyr Baelish: If you're still here come nightfall, I'll take you to see the last person Jon Arryn spoke with before falling ill. If that sort of thing still interests you."
2262,Eddard Stark: I don't have the time.
2263,Petyr Baelish: It won't take more than an hour. But as you please.
2264,"NARRATOR:Baelish exits Ned’s chambers, Ned speaks to Jory briefly and then takes off for Baelish."
2265,Eddard Stark: Round up all the men we have and station them outside the girls' chambers. Who are your best two swords?
2266,Jory Cassel: Heward and Wyl.
2267,Eddard Stark: Find them and meet me at the stables.
2268,"NARRATOR:At the Eyrie, Catelyn, her men, and Tyrion are all standing in front of Lady Arryn. Her son is sitting on her lap, breastfeeding. He is clearly too old to be doing so."
2269,"Lysa Arryn: You bring him here without permission? You pollute my home with his presence? Your aunt has done a bad thing, Robin, a very bad thing. You remember her, don't you? Isn't he beautiful? And strong too. Jon knew it. His last words were, ""the seed is strong."" He wanted everyone to know what a good, strong boy his son would grow up to be. Look at him, the Lord of all the Vale."
2270,"Catelyn Stark: Lysa, you wrote me about the Lannisters, warning me t-"
2271,Lysa Arryn: To stay away from them! Not to bring one here!
2272,Robin Arryn: Mommy? Is that the bad man?
2273,Lysa Arryn: It is.
2274,Robin Arryn: He's little.
2275,Lysa Arryn: He's Tyrion the Imp of House Lannister. He killed your father. He murdered the Hand of the King!
2276,Tyrion Lannister: Oh? Did I kill him too? I've been a very busy man.
2277,Lysa Arryn: You will watch your tongue! These men are Knights of the Vale. Every one of the loved Jon Arryn. Every one of them would die for me.
2278,"Tyrion Lannister: If any harm comes to me, my brother, Jaime, will see that they do."
2279,"Robin Arryn: You can't hurt us! No one can hurt us here! Tell him, mommy! Tell him!"
2280,"Lysa Arryn: Shh... Shh... Shh, my sweet boy. He's just trying to frighten us. Lannisters are all liars. No one will hurt my baby."
2281,Robin Arryn: Mommy... I want to see the bad man fly.
2282,"Lysa Arryn: Perhaps you will, my little love."
2283,Catelyn Stark: This man is my prisoner. I will not have him harmed.
2284,"Lysa Arryn: Ser Vardis, my sister's guest is weary. Take him down below so he can rest. Introduce him to Mord."
2285,NARRATOR:Mord throws Tyrion into a “skycell.”
2286,"Mord: You go sleep, dwarf man. Sleep good, little dwarf. man!"
2287,"NARRATOR:Back at King’s Landing, inside Renly Baratheon’s chambers. He is sitting, shirtless, with Loras Tyrell kneeling beside him shaving his chest. Loras is also shirtless."
2288,Loras Tyrell: Lord Stark's lucky he still has a head.
2289,"Renly Baratheon: Robert will rant for a few days, but he won't do anything. He adores the man."
2290,Loras Tyrell: You're jealous.
2291,Renly Baratheon: Are you sure this won't hurt?
2292,Loras Tyrell: Only if I slip.
2293,Renly Baratheon: And you prefer me like this?
2294,Loras Tyrell: Mhmm.
2295,"Renly Baratheon: If you want hairless, maybe you should find a little boy."
2296,Loras Tyrell: I want you.
2297,"Renly Baratheon: My brother thinks that anyone who hasn't been to war isn't a man. He treats me as if I'm a spoiled child. Oh, and you're not? Loras Tyrell, the Knight of the Flowers? How many wars have you fought in? Oh, and how much did your father spend on that armor of yours?"
2298,Loras Tyrell: Hold still.
2299,"Renly Baratheon: All I ever hear from Robert and Stannis is how I'm not tough enough, how I squirm at the sight of blood."
2300,Loras Tyrell: You did vomit when that boy's eye was knocked out in the mêlée.
2301,Renly Baratheon:His eye was dangling out of the damn socket!
2302,Loras Tyrell: He shouldn't have entered the mêlée if he didn't know how to fight.
2303,Renly Baratheon: Easy for you to say. Not everyone is such a gifted swordsman.
2304,"Renly Baratheon: I could work at fighting all day, every day, and still never be as good as you."
2305,"Loras Tyrell: Yes well, I guess we'll never know."
2306,"NARRATOR:Finished with Renly’s chest, Loras raises his arm so he can shave his armpit."
2307,Renly Baratheon: Everywhere?
2308,Loras Tyrell: Everywhere. So how did it end up? The Targaryen girl will die?
2309,"Renly Baratheon: It needs to be done, unpleasant as it is. Robert's rather tasteless about it. Every time he talks about killing her, I swear the table rises six inches."
2310,Loras Tyrell: It's a shame he can't muster the same enthusiasm for his wife.
2311,"Renly Baratheon: He does have a deep, abiding lust for her money. You have to give it to the Lannisters, they may be the most pompous, ponderous cunts the gods ever suffered to walk the world, but they do have outrageous amounts of money."
2312,Loras Tyrell: I have an outrageous amount of money.
2313,Renly Baratheon: Not as much as the Lannisters.
2314,Loras Tyrell: But a lot more than you.
2315,"Renly Baratheon: Robert's threatening to take me hunting with him. Last time we were out there for two weeks, tramping through the trees in the rain, day after day. All so he can stick his spear into something's flesh! Oh. but Robert loves his killing. And he's the King."
2316,Loras Tyrell: Hmm... How did that ever happen?
2317,Renly Baratheon: Because he loves his killing and he used to be good at it.
2318,Loras Tyrell: Do you know who should be King?
2319,Renly Baratheon: Be serious.
2320,"Loras Tyrell: I am. My father could be your bank. I've never fought in a war before, but I'd fight for you."
2321,Renly Baratheon: I'm fourth in line.
2322,Loras Tyrell: And where was Robert in the line of royal succession? Joffrey is a monster. Tommen is eight.
2323,Renly Baratheon: Stannis?
2324,Loras Tyrell: Stannis has the personality of a lobster.
2325,Renly Baratheon: He's still my older brother.
2326,NARRATOR:Loras cuts Renly under his arm.
2327,Renly Baratheon: What are you doing?!
2328,Loras Tyrell: Look at it.
2329,Renly Baratheon: You cut me!
2330,"Loras Tyrell: It's just blood. We've all got it in us. Sometimes a little spills. If you become King, you're going to see a lot of this. You need to get used to it. Go on. Look. People love you. They love to serve you because you're kind to them. They want to be near you."
2331,"Loras Tyrell: You're willing to do what needs to be done, but you don't gloat over it. You don't love killing. Where is it written that power is the sole province of the worst? That thrones are only made for the hated and the feared. You would be a wonderful King."
2332,NARRATOR:Cersei enters King Robert’s chambers.
